
2025/03/13 (16:00:23) | ===> btop++ v.1.4.0
2025/03/13 (16:00:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (16:00:53) | ===> btop++ v.1.4.0
2025/03/13 (16:00:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (16:01:57) | ===> btop++ v.1.4.0
2025/03/13 (16:01:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (16:11:19) | ===> btop++ v.1.4.0
2025/03/13 (16:11:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (16:24:34) | ===> btop++ v.1.4.0
2025/03/13 (16:24:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (06:12:19) | ===> btop++ v.1.4.0
2025/03/14 (06:12:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (02:06:55) | ===> btop++ v.1.4.0
2025/03/15 (02:06:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (02:08:43) | ===> btop++ v.1.4.0
2025/03/15 (02:08:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (02:15:30) | ===> btop++ v.1.4.0
2025/03/15 (02:15:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (02:17:26) | ===> btop++ v.1.4.0
2025/03/15 (02:17:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (13:02:10) | ===> btop++ v.1.4.0
2025/03/15 (13:02:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (18:56:33) | ===> btop++ v.1.4.0
2025/03/15 (18:56:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (18:56:57) | ===> btop++ v.1.4.0
2025/03/15 (18:56:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (18:57:18) | ===> btop++ v.1.4.0
2025/03/15 (18:57:18) | WARNING: Intel GPU: Failed to initialize PMU
